FoodGroupID,FoodGroupCode,FoodGroupName,FoodGroupNameF
1,1,Dairy and Egg Products,"Produits laitiers et doeufs
"
4,4,Fats and Oils,Matières grasses et huiles
5,5,Poultry Products,Produits de volaille
8,8,Breakfast cereals,Céréales à déjeuner
10,10,Pork Products,Produits de porc
11,11,Vegetables and Vegetable Products,Légumes et produits végétaux
14,14,Beverages,Boissons
22,22,Mixed Dishes,Mets composés
25,25,Snacks,Grignotises
