MeasureID,MeasureDescription,MeasureDescriptionF,CommonName
341,100ml,,100ml
383,125ml,,125ml (1/2 cup)
385,15ml,,15ml (1 tablespoon)
415,250ml,,250ml (1 cup)
405,2 tablespoons,,2 tablespoons
439,5ml,,5ml (1 teaspoon)
428,30ml,,30ml (2 tablespoons)
413,200ml,,200ml
414,225ml,,225ml
